time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,RSI,ATR
1598023800,11738.45,11762.81,11738.45,11751.9,11737.31,11723.11,11695.79,NaN,NaN,57.253221706442915,21.118659346462817
1598024100,11751.9,11753.93,11734.46,11742.46,11737.31,11718.625,11697.85,NaN,NaN,53.80840956654393,21.000897964572697
1598024400,11742.51,11746.73,11738.6,11741.91,11737.31,11718.625,11697.7,NaN,NaN,53.60603558233144,20.081548109960302
1598024700,11741.91,11756.89,11732.05,11732.06,11737.31,11718.625,11685.59,11721.932499999999,11722.43,49.98056868674607,20.421437530677434
1598025000,11732.06,11734.6,11726.75,11728.71,11737.31,11718.625,11693.53,11720.225,11722.43,48.77242697004072,19.523477707057644
1598025300,11728.71,11738.73,11720,11720,11740.384999999998,11718.625,11673.84,11719.06,11722.43,45.680657763075715,19.46680072798207
1598025600,11720.01,11731.96,11711.2,11721.41,11737.005000000001,11718.625,11663.89,11715.185,11721.925,46.27440225997609,19.559172104554666
1598025900,11721.74,11733.17,11719.01,11727.74,11737.005000000001,11718.625,11645.63,11715.185,11715.375,48.97109004002197,19.17351695422932
1598026200,11727.75,11734.16,11727.55,11734.02,11737.005000000001,11718.625,11620.58,11711.785,11710.5,51.56837198291655,18.276122886070123
1598026500,11734.01,11750,11733.93,11749.99,11734.045,11722.95,11613.1,11706.9975,11710.455,57.493384679325125,18.118542679922236
1598026800,11749.99,11750,11735.56,11739.82,11734.045,11731.130000000001,11645.98,11704.6425,11707.525,53.04308069550918,17.855789631356398
1598027100,11739.83,11743.84,11728.17,11732.66,11734.045,11731.130000000001,11633.83,11702.939999999999,11707.1,50.10266085705389,17.699661800545233
1598027400,11732.66,11732.66,11718.41,11719.99,11730.6,11731.130000000001,11640.01,11703.1975,11702.59,45.315523567881534,17.453257386220574
1598027700,11720.08,11725.69,11712.01,11717.45,11730.6,11731.130000000001,11644.41,11703.1975,11702.59,44.39964814467912,17.183739001490554
1598028000,11717.45,11725.76,11709.14,11710.08,11729.57,11731.130000000001,11662.88,11703.1975,11700.5,41.76215831804775,17.143471929955574
1598028300,11710.13,11716.41,11680.98,11688.11,11715.49,11721.895,11658.79,11717.25,11700.5,35.07351794691651,18.449652506387338
1598028600,11688.11,11700.76,11676.4,11686.24,11713.2,11719.605,11671.21,11717.5625,11700.46,34.56605888899168,18.87182018450257
1598028900,11686.24,11692.68,11658.73,11660.39,11704.365,11710.77,11684.3,11720.485,11700.46,28.4403048888598,19.948833028466726
1598029200,11660.37,11664.91,11605.42,11663.2,11677.71,11684.115,11699.65,11724.575,11700.46,29.89472817819957,22.773202097861944
1598029500,11663.21,11714.24,11661.86,11701.45,11674.630000000001,11684.115,11695.52,11724.575,11700.46,45.98737345517785,24.887973376586036
1598029800,11701.45,11767.5,11686.16,11737.55,11686.46,11686.46,11710.29,11723.79,11700.46,56.20522342787745,28.92026099254419
1598030100,11738.57,11756.16,11707.29,11720.47,11686.46,11686.46,11711.9,11723.79,11700.46,51.26392143366986,30.345242350219532
1598030400,11720.39,11724.95,11680,11718.82,11686.46,11686.46,11708.2,11723.79,11700.46,50.799295794272005,31.388439325203905
1598030700,11718.61,11732.74,11707.96,11726.43,11686.46,11686.46,11697.08,11728.5925,11700.46,52.918753225229665,30.91640794483224
1598031000,11726.46,11738.64,11713.33,11713.78,11686.46,11686.46,11688.11,11728.9375,11700.46,49.130045545698444,30.515950234487043
1598031300,11713.77,11717.71,11689.3,11695.79,11686.46,11686.46,11693.33,11730.21,11700.46,44.27528129776554,30.36552521773796
1598031600,11695.79,11703.78,11687.78,11697.85,11686.46,11686.46,11685.68,11727.967499999999,11700.46,44.946137611721646,29.339416273613818
1598031900,11696.92,11708.9,11693.18,11697.7,11714.68,11686.46,11687.31,11727.967499999999,11700.46,44.90374668332807,28.366600825498498
1598032200,11697.71,11698.74,11680.38,11685.59,11723.75,11686.46,11670.83,11727.967499999999,11700.46,41.50065920112955,27.65184362367722
1598032500,11685.58,11696.27,11678.6,11693.53,11717.380000000001,11686.46,11689.36,11727.967499999999,11700.46,44.472072360766774,26.938854793414567
1598032800,11693.53,11699.85,11660.01,11673.84,11699.325,11686.46,11704.88,11729.505,11700.46,39.15999280500528,27.86036516531354
1598033100,11673.49,11683.92,11660,11663.89,11699.32,11686.46,11703.49,11727.815,11700.46,36.769812486308766,27.57891051064829
1598033400,11663.89,11669.33,11640,11645.63,11689.32,11686.46,11694.52,11727.815,11700.46,32.811772883697515,27.70398833131626
1598033700,11645.62,11666.15,11618.87,11620.58,11668.29,11686.46,11705.67,11727.815,11700.46,28.30967221803003,29.1022748790793
1598034000,11620.53,11639.89,11605.46,11613.1,11657.18,11686.46,11696.22,11728.497500000001,11700.46,27.11335246009166,29.482826673430797
1598034300,11613.09,11649.99,11605.98,11645.98,11657.18,11686.46,11692.35,11732.587500000001,11700.46,39.26339599842983,30.5204819110429
1598034600,11645.98,11650.57,11608.99,11633.83,11652.654999999999,11686.46,11680.17,11732.587500000001,11700.46,36.82079688611483,31.31044748882554
1598034900,11633.82,11640.55,11630.54,11640.01,11652.654999999999,11686.46,11677.27,11730.865000000002,11700.46,38.90280532271534,29.78898695390932
1598035200,11640.01,11648.92,11625.69,11644.41,11652.654999999999,11686.46,11668.09,11730.865000000002,11700.46,40.40851565047292,29.32048788577291
1598035500,11644.41,11686,11641.08,11662.88,11645.73,11686.46,11641.27,11730.35,11700.46,46.38202403400597,30.43473875107485
1598035800,11662.87,11668.56,11653.39,11658.79,11645.73,11686.46,11615.75,11718.692500000001,11700.46,45.29915369389299,29.344400268855225
1598036100,11658.8,11672.85,11657.03,11671.21,11645.73,11686.46,11630.75,11716.4025,11724.68,49.17931887780936,28.37837167822269
1598036400,11671.2,11692.42,11663.69,11684.3,11648.939999999999,11686.46,11645.22,11707.567500000001,11716.825,52.96609750682324,28.40348798692104
1598036700,11684.3,11703.99,11684.3,11699.65,11654.985,11686.46,11599.82,11680.912499999999,11690.17,57.011273596309316,27.781095987855288
1598037000,11699.65,11699.65,11683.34,11695.52,11656.49,11686.48,11592.98,11679.372500000001,11690.17,55.6250814555967,26.961731988722732
1598037300,11695.51,11713.99,11692.62,11710.29,11669.84,11686.48,11577.97,11686.46,11690.17,59.42469645736617,26.562322560956748
1598037600,11710.18,11719.24,11709.75,11711.9,11672.465,11680.81,11575.47,11686.46,11688.6,59.82848160134739,25.34287094945982
1598037900,11711.89,11713.59,11697,11708.2,11680.16,11672.05,11576.95,11686.46,11688.6,58.39037734324196,24.71766588164127
