time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2
1598060700,11429.3,11460.16,11425.24,11453.62,11459.98,11544.04,11584.16,11680.325,11732.165
1598061600,11453.57,11486.75,11447.82,11466.75,11459.98,11543.8,11605.38,11674.404999999999,11732.165
1598062500,11466.76,11473.58,11425.6,11440.99,11432.45,11543.8,11585,11674.404999999999,11732.165
1598063400,11440.99,11460.98,11424.48,11455.45,11431.779999999999,11542.955,11574.28,11674.404999999999,11731.95
1598064300,11455.46,11461.12,11444.51,11456.95,11431.779999999999,11536.515,11560.73,11675.287499999999,11721.805
1598065200,11456.95,11478.14,11453.33,11467.04,11431.779999999999,11528.91,11559.08,11676.2925,11721.805
1598066100,11467.03,11467.04,11436.74,11443.92,11445.86,11513.67,11580.26,11666.63,11712.17
1598067000,11443.92,11474.58,11443.92,11473.01,11453.880000000001,11504.83,11587.6,11624.685,11669.015
1598067900,11473.01,11482.49,11460.25,11474.02,11455.615,11487.384999999998,11591.39,11622.692500000001,11669.015
1598068800,11474.02,11474.37,11446.99,11452.06,11455.615,11487.384999999998,11591.93,11612.477499999999,11658.92
1598069700,11452.06,11466.47,11436.94,11437.78,11453.485,11487.384999999998,11583.85,11612.477499999999,11655.4
1598070600,11437.78,11457,11418.96,11425.08,11450.724999999999,11487.384999999998,11570,11612.055,11652.335
1598071500,11425.08,11440.23,11411.87,11422.83,11447.18,11487.154999999999,11561.4,11608.835,11645.279999999999
1598072400,11422.83,11455.75,11422.82,11453.95,11447.18,11482.485,11550.53,11605.0325,11637.43
1598073300,11453.95,11467.35,11448.85,11457.74,11447.18,11478.455,11559.49,11597.412499999999,11632.494999999999
1598074200,11457.75,11474.19,11456,11464.81,11447.18,11470.895,11560.99,11592.9925,11630.365
1598075100,11464.81,11479.93,11460,11471.12,11447.18,11459.98,11587.8,11581.435,11630.365
1598076000,11471.31,11499.34,11471.31,11487.85,11455.605,11459.98,11575.49,11577.054999999998,11630.365
1598076900,11487.85,11579.01,11482.57,11575.08,11495.44,11477.91,11602.46,11554.3,11612.46
1598077800,11575.09,11588,11540,11547.7,11499.935000000001,11482.404999999999,11588.92,11529.86,11588.02
1598078700,11547.69,11566.21,11535.49,11564.03,11499.935000000001,11482.404999999999,11570.73,11529.745,11588.02
1598079600,11564.02,11567,11528.45,11552.23,11505.41,11482.404999999999,11583.58,11527.41,11588.02
1598080500,11552.23,11571.74,11530.75,11565,11518.425,11482.404999999999,11575.96,11513.24,11575.865
1598081400,11565,11589.56,11556.01,11583.44,11522.779999999999,11497.265,11595.75,11509.46,11575.865
1598082300,11583.44,11585.54,11569.09,11579.61,11524.779999999999,11500.715,11575.09,11504.002499999999,11575.865
1598083200,11579.6,11594.69,11550.01,11584.16,11533,11503.28,11580.4,11502.01,11574.295
1598084100,11584.16,11640,11570.5,11605.38,11561.285,11525.935000000001,11602.13,11501.89,11574.295
1598085000,11605.38,11612.61,11582.66,11585,11584.225,11525.935000000001,11619.35,11488.125,11572.154999999999
1598085900,11585.01,11597.49,11570.57,11574.28,11584.225,11525.935000000001,11611.42,11487.3675,11572.154999999999
1598086800,11574.05,11579.48,11552.35,11560.73,11584.225,11525.935000000001,11599.78,11484.1475,11572.154999999999
1598087700,11560.73,11567.6,11544,11559.08,11585.375,11525.935000000001,11611.12,11480.345,11572.154999999999
1598088600,11559.08,11583,11555.51,11580.26,11592,11525.935000000001,11583.1,11479.765,11572.154999999999
1598089500,11580.25,11587.99,11565.85,11587.6,11592,11525.935000000001,11577.92,11479.355,11572.154999999999
1598090400,11587.51,11599.15,11563.42,11591.39,11592,11525.935000000001,11573.1,11471.5,11572.154999999999
1598091300,11591.38,11595.8,11576.23,11591.93,11592,11525.935000000001,11560.18,11471.5,11572.154999999999
1598092200,11591.93,11597.58,11583.85,11583.85,11578.305,11525.935000000001,11584.95,11470.435,11572.154999999999
1598093100,11583.86,11589.54,11559.24,11570,11571.575,11525.935000000001,11574.88,11469.054999999998,11572.154999999999
1598094000,11570,11579.21,11551.93,11561.4,11571.575,11525.935000000001,11588.85,11467.1675,11572.154999999999
1598094900,11561.39,11568.8,11546.53,11550.53,11571.575,11531.41,11609.99,11464.8325,11572.154999999999
