time,open,high,low,close,Volume,Volume MA
1596787200,11779.87,11843.98,11732,11831.66,2554.774499,2510.2683827499964
1596790800,11831.67,11847,11787.68,11813,2115.330624,2361.8376501999965
1596794400,11812.99,11822.79,11755.06,11793.93,1871.511602,2233.6579647999965
1596798000,11793.93,11794.16,11680,11755.31,3506.148549,2272.2626114999966
1596801600,11755.31,11770.65,11675,11753.85,2980.982576,2270.9007272999966
1596805200,11753.85,11769.58,11706.16,11737.98,2374.35897,2267.006343849997
1596808800,11737.98,11738,11458,11630.56,7129.098701,2506.523864649997
1596812400,11630.56,11664.18,11616.16,11641.7,2424.515062,2491.089863399997
1596816000,11641.69,11663,11585,11589.09,2875.543049,2533.450268349997
1596819600,11589.08,11629.06,11415,11536.32,6616.353142,2693.917522099997
1596823200,11536.98,11537.06,11322,11479.73,6259.959689,2897.322884349997
1596826800,11479.73,11523.77,11457.87,11489,2687.120434,2924.9716863499966
1596830400,11488.9,11589.9,11469.27,11560.44,2476.085479,2953.925300849997
1596834000,11560.45,11616.33,11549.81,11597.01,1531.720584,2946.012275799997
1596837600,11597.02,11640,11571.04,11580.01,1863.074113,2913.016627399997
1596841200,11580.01,11634.53,11553,11594.23,1385.612119,2890.721871299997
1596844800,11594.36,11620,11526.68,11598.84,1477.000288,2869.493882049997
1596848400,11598.84,11659.18,11593.42,11634.92,1744.739443,2849.3389016999968
1596852000,11634.93,11647.24,11587.13,11616.46,883.982033,2820.9408433499966
1596855600,11616.45,11616.89,11531.78,11544.34,1240.316009,2799.911348249997
1596859200,11544.35,11582.99,11530.26,11540.02,1158.58107,2730.1016767999968
1596862800,11540.01,11620.44,11512,11611.33,1503.681948,2699.5192429999965
1596866400,11611.32,11621.42,11587.77,11595.84,1313.180468,2671.6026862999965
1596870000,11595.84,11623.23,11571.22,11586.07,1320.532937,2562.3219056999965
1596873600,11586.08,11606.07,11562.17,11581.02,1076.316039,2467.0885788499963
1596877200,11581.02,11750,11580.56,11742.15,3169.014213,2506.821340999996
1596880800,11742.13,11790,11716.7,11738.55,2367.037311,2268.7182714999963
1596884400,11738.93,11801.72,11734.35,11775.52,2454.189027,2270.2019697499964
1596888000,11775.52,11808.27,11751.32,11772.56,1907.678993,2221.8087669499964
1596891600,11772.52,11778.4,11718.93,11748.27,1753.799935,1978.6811065999966
1596895200,11748.28,11762.37,11706.39,11733.25,1384.387036,1734.9024739499964
1596898800,11733.25,11781.47,11728.59,11738.1,1582.380903,1679.6654973999964
1596902400,11738.39,11759.16,11585,11680.3,3616.047218,1736.6635843499964
1596906000,11680.3,11709.99,11630,11709.37,1659.099504,1743.0325303499963
1596909600,11709.33,11712.01,11647.52,11685.31,1575.220534,1728.6398513999961
1596913200,11685.3,11722,11655.39,11713.42,2059.260317,1762.3222612999962
1596916800,11713.38,11714.64,11665.2,11707.91,1395.85777,1758.265135399996
1596920400,11707.92,11783.69,11706.3,11762.63,1984.378353,1770.2470808999963
1596924000,11762.64,11772.4,11715.78,11745.13,1418.854506,1796.9907045499963
1596927600,11745.13,11769.81,11672.6,11761.41,1812.625185,1825.6061633499962
1596931200,11761.02,11797.11,11744.16,11753.07,2377.553481,1886.5547838999962
1596934800,11752.99,11763.8,11672,11697.13,1536.057778,1888.1735753999965
1596938400,11697.13,11734.71,11687.61,11713.02,1161.70425,1880.5997644999966
1596942000,11713.02,11777,11701.79,11730.52,1077.825738,1868.4644045499967
1596945600,11730.52,11741.29,11680.34,11693.51,1076.985402,1868.4978726999968
1596949200,11693.51,11719.6,11638,11640.5,1662.96614,1793.1954690499965
1596952800,11640.51,11700.1,11633,11659.3,1674.197244,1758.5534656999967
1596956400,11659.3,11707.63,11656.15,11704.07,1591.719126,1715.4299706499964
1596960000,11704.07,11718.21,11662.13,11685.45,1567.620583,1698.4270501499966
1596963600,11685.96,11710,11605,11648.27,2107.968389,1716.1354728499966
1596967200,11648.27,11676.26,11627,11668.79,1708.40273,1732.3362575499966
1596970800,11668.8,11707.2,11665.01,11686.08,1722.840848,1739.3592547999967
1596974400,11686.08,11687.85,11630,11654.63,1995.420916,1658.327939699997
1596978000,11654.64,11681.78,11600,11615.28,1869.568879,1668.851408449997
1596981600,11615.29,11637.86,11550,11573.02,3056.7229,1742.926526749997
1596985200,11573.02,11603.07,11536.02,11567.43,1917.746295,1735.8508256499968
1596988800,11567.42,11635.54,11561.08,11585.74,2185.313623,1775.3236182999967
1596992400,11585.74,11605,11525,11526.92,2119.202926,1782.0648469499968
1596996000,11526.93,11652.86,11521.97,11634.34,1760.236621,1799.1339526999968
1596999600,11634.34,11674.56,11619.17,11628.98,1531.661202,1785.085753549997
1597003200,11629.01,11678.43,11628.87,11668.73,1335.174344,1732.9667966999968
1597006800,11668.73,11685.01,11623.46,11648.22,1229.958206,1717.661818099997
1597010400,11648.22,11691.84,11642.01,11683.77,1687.778178,1743.9655144999967
1597014000,11683.78,11695,11652.58,11681.68,1538.441543,1766.9963047499969
1597017600,11681.69,11764.97,11681.68,11739.08,2891.616408,1857.727855049997
1597021200,11739.09,11860,11737.51,11849.87,3891.051868,1969.1321414499973
1597024800,11851.08,12067.35,11848.8,11996.46,11335.631929,2452.2038756999973
1597028400,11996.47,12050,11964.06,12009.4,4123.392876,2578.7875631999973
1597032000,12009.4,12049.5,11957,11975.4,3509.486714,2675.8808697499976
1597035600,11975.29,11995.49,11922.91,11957.79,3194.381325,2730.2015165499975
1597039200,11957.97,11988.31,11936.07,11987.88,2305.603139,2760.0615369999973
1597042800,11987.89,12003,11945.8,11968.89,2656.350382,2806.737013699997
1597046400,11968.89,12006.29,11949.15,11976.53,2809.1595,2847.423942899997
1597050000,11976.53,11992.82,11953,11969.73,2608.548193,2884.3729085999976
1597053600,11969.72,11999,11450,11686.13,9347.23499,3198.898513099997
1597057200,11686.12,11749,11683.28,11733.03,3420.807816,3274.051589149997
1597060800,11733.13,11930.6,11705.51,11870.56,4556.399118,3392.6058638999975
1597064400,11870.56,11933.73,11854.17,11926.79,3065.836696,3439.9375523999975
1597068000,11926.78,11968,11872.7,11887.66,3922.476368,3548.049539749997
1597071600,11887.47,11936.04,11808.99,11920.67,3485.747787,3645.7538689999974
1597075200,11920.66,11950,11813,11879.25,3735.170336,3765.753668599997
1597078800,11879.24,11895,11825.07,11880.05,2459.835336,3827.2475250999973
1597082400,11880.05,11903.96,11863.85,11873.58,1805.505485,3833.133890449998
1597086000,11873.59,11891.36,11811,11863.03,1998.95234,3856.1594302999983
1597089600,11863,11883.11,11766,11849.3,2552.291185,3839.193169149998
1597093200,11849.29,11854.54,11779.42,11834.15,1755.057941,3732.3934727999986
1597096800,11834.35,11836.6,11766,11817.96,1928.856396,3262.054696149999
1597100400,11817.96,11892.92,11800,11892.92,1592.943759,3135.532240299999
1597104000,11892.9,11910.42,11852.01,11872,1921.11203,3056.113506099999
1597107600,11872,11934.13,11851.75,11927.99,2129.366132,3002.862746449999
1597111200,11928,11935,11853.17,11853.26,2250.705596,3000.1178692999993
1597114800,11853.25,11877.52,11811.48,11833.81,2433.622965,2988.9814984499994
1597118400,11833.81,11861.67,11806.66,11826.41,2138.757827,2955.461414799999
1597122000,11826.41,11858.77,11805.69,11854.56,1906.484617,2920.358235999999
1597125600,11854.56,11854.57,11707,11751.79,4106.607804,2658.3268766999995
1597129200,11751.77,11783.51,11705,11748.05,3037.036083,2639.1382900499993
1597132800,11748.05,11768.81,11700,11712.94,2730.235999,2547.830134099999
1597136400,11713.18,11765.55,11689.44,11695.9,3222.669977,2555.671798149999
1597140000,11695.9,11749.52,11642.45,11729.22,3986.433533,2558.8696563999993
1597143600,11729.41,11758.88,11702.95,11741.48,2769.393548,2523.051944449999
