time,open,high,low,close
1596166200,11022.63,11024.46,11002.02,11002.32
1596166500,11002.32,11002.32,10969.53,10980.91
1596166800,10980.91,10992.4,10980.08,10990.26
1596167100,10990.25,10990.27,10971.47,10985.71
1596167400,10985.71,10990.83,10973.34,10984.68
1596167700,10984.68,10992.85,10964.5,10977.08
1596168000,10976.26,10993.81,10974,10993.44
1596168300,10993.43,11004.45,10986.45,11003.8
1596168600,11003.79,11003.8,10976.68,10978.09
1596168900,10978.08,10996.12,10976.68,10995.2
1596169200,10995.19,11008.96,10994.65,11001.77
1596169500,11001.77,11002.88,10991.23,11002.7
1596169800,11002.67,11015,10996.02,11014
1596170100,11014,11025.54,11013.99,11025.13
1596170400,11025.13,11027.97,11019.22,11026.64
1596170700,11026.65,11047.16,11024.8,11042.98
1596171000,11042.98,11049,11038.07,11043.64
1596171300,11043.65,11058.07,11042.38,11049.53
1596171600,11049.53,11053.74,11039.57,11039.92
1596171900,11039.85,11046.49,11037.91,11044.26
1596172200,11044.67,11050.76,11033.41,11049.04
1596172500,11049.05,11050,11034.22,11037.61
1596172800,11037.62,11057.8,11037.61,11054.56
1596173100,11054.39,11056.52,11049.21,11053.79
1596173400,11053.78,11058.88,11042.51,11046.53
1596173700,11046.74,11048.92,11033.14,11033.87
1596174000,11033.88,11040.05,11030.59,11033.64
1596174300,11033.64,11051,11032.14,11050.13
1596174600,11050.13,11050.14,11039.69,11041.87
1596174900,11041.88,11042.4,11030.98,11039.04
1596175200,11039.04,11044.77,11034,11044.77
1596175500,11044.77,11053,11042.2,11050
1596175800,11050,11062.77,11045.03,11060.97
1596176100,11060.96,11089,11057.16,11088.56
1596176400,11088.56,11112.99,11080.2,11107.98
1596176700,11107.97,11120,11097.94,11102.8
1596177000,11102.76,11124.88,11098.61,11123.68
1596177300,11123.68,11123.69,11108.37,11120.01
1596177600,11120,11120.26,11106.07,11107.49
1596177900,11107.5,11137.38,11102.28,11136.31
1596178200,11136.32,11153.3,11136.32,11142
1596178500,11142,11149.79,11126.6,11140.64
1596178800,11140.63,11150.09,11108.24,11111.46
1596179100,11111.46,11115.32,11095.93,11106
1596179400,11105.74,11109.25,11100,11101.89
1596179700,11101.96,11113.35,11093.76,11111.2
1596180000,11111.2,11124.91,11111.2,11121.57
1596180300,11121.8,11124.98,11110.14,11112.89
1596180600,11112.89,11125.3,11110.92,11119.79
1596180900,11119.65,11121.89,11113.41,11121.67
1596181200,11121.67,11142.36,11118.01,11136.44
1596181500,11136.44,11144.89,11133.35,11139.25
1596181800,11139.36,11142.12,11125.14,11125.14
1596182100,11126.12,11143.33,11120.43,11131.11
1596182400,11131.11,11153.92,11130.41,11133.26
1596182700,11133.27,11136.31,11087.12,11111.28
1596183000,11111.46,11158,11111.2,11156.72
1596183300,11156.72,11184.39,11131.87,11174.24
1596183600,11172.89,11188.88,11151.12,11158
1596183900,11158,11166.7,11134,11162.35
1596184200,11162.83,11168.74,11130.68,11135
1596184500,11135.9,11149.59,11121.62,11143.96
1596184800,11143.96,11145.55,11135.46,11140.74
1596185100,11140.75,11142.07,11126.33,11141.99
1596185400,11141.98,11145.38,11133.39,11144.37
1596185700,11144.37,11145.89,11120.02,11124.97
1596186000,11124.97,11125,11110.1,11111.94
1596186300,11111.95,11146.46,11111.5,11146.44
1596186600,11146.44,11149.01,11136.52,11147.55
1596186900,11147.55,11147.56,11132.74,11137.97
1596187200,11137.97,11149.74,11135.01,11143.32
1596187500,11143.33,11144.21,11123.83,11127.06
1596187800,11127.06,11140.9,11127.06,11136.82
1596188100,11136.81,11136.82,11108.3,11120.62
1596188400,11120.63,11121.2,11107.35,11111.77
1596188700,11112.24,11118.28,11106.16,11109.37
1596189000,11109.38,11117,11102.79,11109.17
1596189300,11109.17,11116.88,11104.99,11115.51
1596189600,11115.51,11122.3,11105.22,11119.48
1596189900,11119.48,11145.47,11119,11145.47
1596190200,11145.08,11148.83,11137.04,11146.59
1596190500,11145.92,11145.92,11129.23,11140.92
1596190800,11140.7,11144.37,11134.75,11142.01
1596191100,11142.07,11147.55,11138,11139.08
1596191400,11139.08,11140.3,11131.62,11132.89
1596191700,11132.89,11163.79,11132.8,11161.97
1596192000,11162,11175,11146.27,11153.43
1596192300,11153.32,11175,11146.52,11164.93
1596192600,11164.93,11174.27,11154.87,11163.76
1596192900,11163.76,11190.48,11163.76,11174.33
1596193200,11174.34,11177.7,11152.63,11165.32
1596193500,11165.32,11171.96,11152.35,11166
1596193800,11166.01,11172.97,11152.32,11160.73
1596194100,11160.73,11162.38,11141.78,11145.99
1596194400,11146,11152.56,11141.01,11143
1596194700,11143.01,11157.74,11143,11156.37
1596195000,11156.36,11158,11137.44,11148.26
1596195300,11148.45,11154.99,11141.78,11143.84
1596195600,11143.84,11158,11142.18,11156.62
1596195900,11156.62,11173,11156.58,11165.07
1596196200,11165.38,11200,11165.07,11199.43
1596196500,11199.44,11226,11190.49,11218.86
1596196800,11218.86,11227.11,11185.36,11198.84
1596197100,11198.84,11200,11180,11191.15
1596197400,11191.25,11192.7,11171.29,11190.8
1596197700,11191.02,11212.87,11190.35,11202.06
1596198000,11202.05,11207.88,11190.58,11191.14
1596198300,11191.14,11218.88,11184.69,11209.59
1596198600,11209.58,11225,11206.4,11219.43
1596198900,11219.43,11219.44,11193.52,11209.67
1596199200,11209.66,11225,11203.68,11219.69
1596199500,11219.68,11225.51,11208.55,11225.51
1596199800,11225.51,11225.51,11184.69,11207
1596200100,11207,11238,11200.49,11238
1596200400,11238,11245,11200,11214.23
1596200700,11214.31,11214.58,11173.64,11187.26
1596201000,11187.27,11199.97,11184.27,11187.67
1596201300,11187.67,11200,11182.85,11188
1596201600,11189,11200,11180.19,11196.36
1596201900,11196.36,11196.36,11127.13,11143.9
1596202200,11143.91,11154.33,11119.17,11149.78
1596202500,11149.54,11149.79,11126.51,11141.6
1596202800,11141.6,11147.61,11112,11124.04
1596203100,11124.12,11137.51,11111,11135.47
1596203400,11135.47,11145.9,11126.16,11142.86
1596203700,11142.86,11156.05,11134.5,11151.95
1596204000,11151.95,11164.45,11136.39,11161.96
1596204300,11162.01,11177.68,11155.81,11171.49
1596204600,11171.5,11176.03,11161.66,11171.5
1596204900,11171.52,11181.98,11159.87,11178.29
1596205200,11178.3,11182.27,11156.6,11169.47
1596205500,11169.48,11175.55,11158.97,11159.91
1596205800,11159.91,11194.65,11151.48,11192.74
1596206100,11192.75,11201,11188.53,11196.68
1596206400,11196.68,11205.89,11193.74,11199
1596206700,11199,11208.63,11190.28,11205.53
1596207000,11205.53,11218.66,11202.83,11216.82
1596207300,11216.32,11245,11205.39,11244.83
1596207600,11244.83,11247.94,11220.05,11247.94
1596207900,11247.94,11250,11221.11,11236.29
1596208200,11236.41,11250,11227.13,11245.61
1596208500,11245.14,11287.45,11232.28,11268.09
1596208800,11268.08,11290,11252.03,11252.04
1596209100,11252.04,11279,11246.03,11273.3
1596209400,11273.3,11327.97,11273.29,11302.35
1596209700,11302.34,11370,11287.54,11309.6
1596210000,11309.6,11340,11306.22,11309.78
1596210300,11309.69,11355.54,11309.39,11350.26
1596210600,11350.27,11360,11308,11308.33
1596210900,11309.11,11350,11309.11,11346.9
1596211200,11346.89,11420,11308,11393.56
1596211500,11393.27,11431.58,11374.65,11400.01
1596211800,11400.36,11440,11388,11426.95
1596212100,11428.35,11444,11366.89,11384.39
1596212400,11384.39,11388.95,11339.4,11362.6
1596212700,11362.61,11363,11211.37,11281.5
1596213000,11282.07,11311.06,11268.71,11301.2
1596213300,11301.29,11357.05,11290.84,11330.71
1596213600,11330.71,11338.94,11314.01,11333.71
1596213900,11333.71,11362,11323.28,11324.57
1596214200,11324.69,11349,11323.87,11344.79
1596214500,11344.79,11355.53,11308.05,11351.9
1596214800,11351.89,11357.69,11325.68,11337.28
1596215100,11337.28,11338.75,11311,11311.01
1596215400,11311.01,11311.01,11277,11293.44
1596215700,11293.56,11322,11282.14,11321.99
1596216000,11321.99,11331,11294.69,11294.84
