time,open,high,low,close,volume
1546927200,3950.49,3965.66,3940,3958.56,1044.670249
1546930800,3959.59,3968.42,3946.09,3953.6,1038.1454840000001
1546934400,3953.14,3974.2,3948.75,3960.64,1238.2670599999997
1546938000,3960.67,3982,3958.48,3973.62,1716.9012609999997
1546941600,3972.12,3982.25,3964,3980.69,1303.3739590000005
1546945200,3981.81,4018,3967.93,4001.59,2222.3159670000005
1546948800,4002.32,4007,3988.64,3988.83,1582.5792280000003
1546952400,3989.16,4039,3988.83,4026.72,2585.67229
1546956000,4027.3,4028.19,4002.76,4008.81,2165.9034700000007
1546959600,4008.81,4069.8,3981,4000.48,4677.308971999999
1546963200,4002.04,4007.84,3938.82,3968.77,3645.2578449999996
1546966800,3970.76,3984.4,3956,3962,1615.9689720000003
1546970400,3962,3977.06,3954,3968.46,892.0641590000001
1546974000,3969.42,3983,3957.93,3976.12,906.0551190000002
1546977600,3976.11,3985.8,3965.4,3965.4,771.5594729999998
1546981200,3965.4,3976.46,3960.9,3963.23,682.3324590000001
1546984800,3963.34,3968.47,3952.3,3967.83,607.3329679999998
1546988400,3967.83,3971.4,3903,3955.13,2516.960056000001
1546992000,3955.45,3970.47,3930.04,3955.73,1725.7426030000004
1546995600,3955.76,3997.74,3936.26,3986,2380.545265999999
1546999200,3985.74,3999.89,3977.3,3980.64,1439.5263410000007
1547002800,3981.89,3992.75,3977.42,3981.03,986.812642
1547006400,3981.98,4002,3981.03,3994,928.3130630000003
1547010000,3994,3999.2,3983,3987.98,802.9101910000004
1547013600,3988.19,3990,3978,3986.63,801.9343309999998
1547017200,3986.44,4000,3985.02,3987.88,797.7263419999998
1547020800,3987.76,3991.78,3971.11,3982.54,1076.596718
1547024400,3982.85,3996.98,3976,3978,930.436261
1547028000,3977.7,3987.07,3971.5,3982.77,1215.6090539999996
1547031600,3982.53,4006.81,3980.58,3986.44,1377.455574
1547035200,3985.52,3996.3,3956,3976.72,1947.4094779999994
1547038800,3976.86,3977.71,3952,3968.09,1406.1459350000002
1547042400,3968.07,3968.11,3941,3951.22,1689.8458919999996
1547046000,3951.22,3971.18,3942.39,3958.28,1552.4135640000004
1547049600,3957.59,3977.93,3952.44,3963.03,1328.487833
1547053200,3965.05,3972,3955.68,3968,888.1020250000001
1547056800,3967.14,3975,3958,3971.38,815.1425960000001
1547060400,3970.06,3983.66,3964.79,3978.34,920.183472
1547064000,3978.98,3981,3961,3967,881.4744549999998
1547067600,3967,3990,3955,3966.48,1534.0889389999998
1547071200,3966.23,3977.67,3962.21,3967.4,851.9472040000003
1547074800,3968.59,3973.55,3961.88,3966.65,710.589732
1547078400,3966.06,3989.81,3963.7,3987.66,877.7880539999999
1547082000,3988.76,3993.46,3974.31,3982.44,1018.1058539999999
1547085600,3982.54,3985,3975.02,3981,901.0109830000001
1547089200,3981,3990.49,3975.13,3978.94,1111.3810739999997
1547092800,3978.96,3993.82,3976.14,3993,1075.455887
1547096400,3993,3996.01,3986.57,3989.79,1464.983995
1547100000,3988.57,3990.47,3731.01,3781.31,11092.600112999997
1547103600,3779.63,3784.73,3747.61,3777.02,4132.6958700000005
1547107200,3777.54,3783.32,3752.5,3759.07,2371.3771030000007
1547110800,3757.89,3766.51,3715.65,3732.79,4205.651455
1547114400,3732.77,3751.12,3725,3736.45,1579.2900620000005
1547118000,3735.46,3744.7,3720,3739.99,1961.5282359999999
1547121600,3738.01,3750,3728.06,3732.81,1439.6571040000001
1547125200,3732.81,3736.11,3707.07,3725.62,2036.1450410000007
1547128800,3725.19,3732.98,3713.3,3726.32,1921.4618840000007
1547132400,3726.32,3735.65,3713.4,3726.39,1861.669661
1547136000,3726.79,3726.79,3540,3583.21,8950.301648000002
1547139600,3583.21,3588.78,3561.6,3574.18,1842.2524700000008
1547143200,3574.15,3576.61,3557.16,3573.78,1118.0351940000005
1547146800,3573.78,3606.88,3540.33,3596.12,3226.02017
1547150400,3596.73,3609.21,3582,3585.62,1613.4267580000007
