time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,RSI,ATR
1596435300,11190.18,11206.62,11181.85,11204.18,11167.295,11072.075,11231.96,11085.605,11107.205,59.600234354606926,38.03345638092791
1596436200,11204.18,11244.99,11199.77,11209.49,11185.715,11147.49,11218.01,11081.9825,11107.205,60.59645586287444,38.546780925147296
1596437100,11209.5,11230,11165,11190.5,11185.715,11159.56,11245.06,11079.035,11108.720000000001,55.34068165548603,40.436296573351065
1596438000,11190.5,11221.21,11183.85,11219.84,11185.715,11173.845000000001,11261.37,11071.4225,11109.705,60.97285582098947,40.216561103825896
1596438900,11219.84,11233.5,11206.23,11229.94,11185.715,11176.55,11271.79,11079.305,11109.705,62.71599663789421,39.29180673926693
1596439800,11229.93,11230.92,11205.05,11224.58,11202.15,11176.55,11273.05,11079.305,11109.705,61.154916576401796,38.333106257890776
1596440700,11224.58,11225.35,11190.81,11197.11,11204.994999999999,11176.55,11292.1,11072.807499999999,11109.705,53.76820801730647,38.06217009661293
1596441600,11196.93,11216,11172.28,11207.85,11204.994999999999,11176.55,11315.26,11071.162499999999,11109.705,56.005625557706374,38.466300803997676
1596442500,11207.84,11240,11207.84,11217.88,11204.994999999999,11180.029999999999,11303.91,11067.645,11109.705,58.04757379301428,38.01585074656926
1596443400,11217.87,11235.29,11193.35,11206.07,11204.994999999999,11180.029999999999,11300,11099.83,11109.705,54.82109415541948,38.29614712181434
1596444300,11206.07,11206.92,11189.87,11189.87,11202.5,11180.029999999999,11348.63,11102.932499999999,11109.705,50.6613075585217,36.77856518454184
1596445200,11189.87,11215.4,11186.22,11191.31,11206.14,11180.029999999999,11359.59,11113.615,11109.705,51.01710267507761,36.23581052850316
1596446100,11191.35,11204.51,11151,11160.92,11195.5,11180.029999999999,11363.13,11114.967499999999,11109.705,43.83308664906598,37.46968120503867
1596447000,11160.93,11182.64,11150,11181.5,11195,11180.029999999999,11382.37,11114.967499999999,11109.705,49.06397996877865,37.1247039761073
1596447900,11181.65,11184.27,11122.82,11127.98,11181.41,11180.029999999999,11416.12,11114.967499999999,11109.705,38.914159185527694,38.86222512067111
1596448800,11128.07,11168.48,11120.69,11164.22,11180.345000000001,11180.029999999999,11430.57,11114.967499999999,11109.705,46.9212227604708,39.499923326337395
1596449700,11164.23,11176,11155.89,11173.37,11180.345000000001,11182.84,11402.32,11116.707499999999,11109.705,48.74790063545161,38.114928803027624
1596450600,11173.37,11183.22,11165.43,11172.37,11177.990000000002,11182.84,11352.25,11116.707499999999,11109.705,48.55124562100354,36.66314817423987
1596451500,11172.37,11202.28,11170.3,11201.75,11168.045,11182.84,11391.19,11116.707499999999,11109.705,54.37482649991975,36.328637590365695
1596452400,11201.75,11224.9,11186.81,11193,11172.795,11182.84,11391,11116.707499999999,11109.705,52.469949923389215,36.45444919105387
1596453300,11193,11223.74,11174.61,11218.29,11172.795,11182.84,11423.34,11113.3975,11109.705,57.143152802613756,37.35984567740711
1596454200,11218.28,11239,11200.01,11233.59,11179.845000000001,11182.84,11417.07,11111.6525,11109.705,59.723205339528654,37.47628527187801
1596455100,11233.65,11243,11217.9,11231.14,11181.845000000001,11182.84,11388.5,11111.6525,11109.705,59.109548876442496,36.592264895315324
1596456000,11231.15,11231.9,11203.62,11207.99,11181.845000000001,11182.84,11389.41,11114.7375,11109.705,53.51427388419139,35.99853168850701
1596456900,11207.99,11216.27,11191.31,11204.96,11199.445,11182.84,11401.99,11119.685000000001,11109.705,52.80965634586491,35.210065139328
1596457800,11204.99,11236.67,11203.69,11231.96,11204.215,11182.84,11416.12,11119.685000000001,11109.705,58.10345956645309,35.05077477223311
1596458700,11231.94,11246.33,11211.99,11218.01,11208.314999999999,11183.51,11374.64,11166.6025,11109.705,54.6898302766524,35.00000514564504
1596459600,11218,11256.69,11216.1,11245.06,11215.650000000001,11188.69,11369.91,11172.6375,11102.46,59.64125075298962,35.39929049238469
1596460500,11245.06,11263,11228.88,11261.37,11218.805,11191.845000000001,11361.11,11179.78,11102.46,62.31530664262301,35.30791260007155
1596461400,11261.6,11273,11247.54,11271.79,11232.154999999999,11196.845000000001,11399.46,11181.1325,11102.46,63.95830246975482,34.60449027149495
1596462300,11271.65,11300,11260.54,11273.05,11245.654999999999,11210.345000000001,11408.88,11189.349999999999,11101.060000000001,64.16177485568656,34.95131239495954
1596463200,11272.98,11305.4,11260,11292.1,11248.355,11213.045,11381.12,11190.7725,11101.060000000001,67.17870383270888,35.697647223890975
1596464100,11292.1,11327.83,11292.1,11315.26,11259.57,11224.26,11358.26,11190.7725,11090.494999999999,70.43703241762596,35.69995813647016
1596465000,11315.27,11342.42,11275,11303.91,11273.055,11231.555,11373.63,11192.512499999999,11090.494999999999,66.93029015073552,37.96567541243659
1596465900,11303.9,11305.09,11271.95,11300,11277.205,11231.555,11338.55,11192.512499999999,11090.494999999999,65.71650221474653,37.62098431154822
1596466800,11300,11369.59,11295.16,11348.63,11292.845000000001,11245.14,11338.91,11191.265,11090.494999999999,72.41658710042076,40.250199717866224
1596467700,11348.63,11380.88,11337.58,11359.59,11304.88,11250.785,11276.83,11193.085,11090.494999999999,73.66571711764635,40.46804259516144
1596468600,11359.6,11385,11315.14,11363.13,11316.27,11252.845000000001,11191.28,11187.765,11090.494999999999,74.07410309858275,42.56746812407852
1596469500,11363.13,11383,11350.84,11382.37,11322.5,11252.845000000001,11250.3,11187.515,11090.494999999999,76.23153434820593,41.82407754378719
1596470400,11382.37,11443.78,11379.94,11416.12,11351.89,11282.235,11285.86,11180.72,11090.494999999999,79.46039084351247,43.396643433516694
1596471300,11416.04,11473,11416.04,11430.57,11372.475,11296.845000000001,11240.4,11180.1875,11090.494999999999,80.67108337227175,44.36545461683687
1596472200,11430.57,11461.2,11395.45,11402.32,11372.475,11314.445,11213.94,11181.5925,11090.494999999999,71.76494694219875,45.89292214420566
1596473100,11402.32,11410.18,11324.92,11352.25,11372.475,11319.215,11174.72,11180.415,11090.494999999999,59.2743765396074,48.70485627676242
1596474000,11354.68,11397.36,11329.73,11391.19,11384.08,11321.65,11234.11,11175.442500000001,11090.494999999999,64.4557229399679,50.05665225699375
1596474900,11391.2,11404.14,11370.95,11391,11394.07,11323.805,11228.93,11177.817500000001,11090.494999999999,64.41266150796521,48.851891381494106
1596475800,11391,11435.83,11381.22,11423.34,11394.07,11323.805,11219.81,11177.817500000001,11090.494999999999,68.29525838145724,49.26318485424457
1596476700,11423.34,11424.44,11395.66,11417.07,11398.96,11332.154999999999,11265.91,11181.3425,11090.494999999999,66.77419380187797,47.80010022179858
