time,open,high,low,close,volume
1502942400,4261.48,4280.56,4261.32,4261.45,11.308926
1502944200,4280,4313.62,4267.99,4308.83,35.872083
1502946000,4308.83,4328.69,4304.31,4320,21.048648
1502947800,4320,4320,4291.37,4315.32,2.186268
1502949600,4315.32,4330.29,4309.37,4311.02,3.5662769999999995
1502951400,4311.02,4345.45,4311.02,4324.35,3.6634139999999995
1502953200,4324.35,4324.35,4291.38,4291.38,0.040459
1502955000,4291.38,4349.99,4287.41,4349.99,4.4027899999999995
1502956800,4333.32,4377.85,4333.32,4360.7,0.84226
1502958600,4360.7,4360.7,4360,4360.69,0.130547
1502960400,4360.69,4360.69,4360,4360,2.295001
1502962200,4360,4445.78,4360,4444,8.468621999999998
1502964000,4441.1,4443,4399.81,4440,5.274331
1502965800,4440,4470,4400,4460,19.591067999999996
1502967600,4460,4485.39,4454.72,4485.39,24.929329
1502969400,4485.39,4485.39,4427.3,4427.3,2.088724
1502971200,4427.3,4449.56,4418.12,4418.12,21.095547000000003
1502973000,4418.12,4431.13,4411,4411,1.9368510000000003
1502974800,4411,4445.88,4411,4440,3.718318
1502976600,4435.12,4459,4425.21,4459,27.594118
1502978400,4459,4469.46,4435.93,4467.81,21.648809000000004
1502980200,4467.81,4485.39,4452.57,4470.82,30.087088
1502982000,4470.82,4470.82,4412.1,4432.2,22.594839
1502983800,4432.2,4444.9,4333.42,4352.34,45.886431
1502985600,4352.34,4354.35,4255.3,4290.17,53.209948
1502987400,4290.17,4354.18,4290.17,4354.18,14.248843000000003
1502989200,4354.18,4354.84,4301.5,4335.28,21.401495999999998
1502991000,4335.28,4354.84,4235.45,4289.24,38.263416
1502992800,4289.24,4302.45,4218.68,4287.69,24.946195000000003
1502994600,4287.69,4302.45,4222.97,4256.97,26.328967999999996
1502996400,4241.91,4302.44,4200.74,4287.61,33.16595
1502998200,4287.61,4335.3,4287.61,4325.23,13.544900000000002
1503000000,4307.56,4325.23,4261,4273.16,26.165580000000002
1503001800,4258.56,4354.84,4258.56,4346.74,22.809891999999998
1503003600,4346.74,4369.69,4315.85,4349.33,29.292665000000007
1503005400,4349.33,4369.69,4309.23,4333.55,32.480371
1503007200,4333.55,4349.63,4310,4326.29,26.241173999999997
1503009000,4326.29,4359.13,4319.11,4336.8,31.134968000000004
1503010800,4313.39,4337.38,4300,4327.89,39.33724900000001
1503012600,4327.89,4332.26,4280.82,4285.08,42.308014
1503014400,4285.08,4309.92,4267.78,4292.11,26.371471
1503016200,4292.11,4340.62,4228.76,4286.53,56.06400299999999
1503018000,4269.36,4269.36,4134.61,4214.97,53.313177
1503019800,4214.97,4269.36,4200.6,4243.59,22.371706
1503021600,4251.95,4298.64,4234,4278.05,39.571954999999996
1503023400,4278.05,4278.05,4242.75,4267.59,14.499382
1503025200,4244.77,4308.7,4244.77,4244.77,29.093027000000006
1503027000,4244.77,4296.6,4234,4292.39,34.908322
1503028800,4292.39,4292.39,4234.43,4245,25.454966000000002
1503030600,4245,4292.39,4234.67,4287.92,25.342549
1503032400,4287.92,4319.93,4250.04,4317.21,35.17053100000001
1503034200,4317.21,4340.62,4274.16,4313.56,28.998755000000003
1503036000,4313.56,4316.98,4262.32,4289.09,24.411925999999998
1503037800,4289.09,4304.66,4247.75,4279.46,39.82349800000001
1503039600,4279.46,4304.66,4270.48,4286.05,33.833827
1503041400,4286.05,4304.67,4270.48,4300.25,35.352976999999996
1503043200,4285,4307.41,4284.33,4306.41,36.146521
1503045000,4306.41,4320.71,4259.85,4282.73,38.683327999999996
1503046800,4265.33,4327.25,4265.33,4307.01,26.419827
1503048600,4317.6,4317.6,4276.89,4304.15,19.233329
1503050400,4304.15,4349,4296.04,4349,28.417819
1503052200,4330.26,4371.52,4317.91,4356.31,23.145856
1503054000,4356.31,4357.37,4327,4330,12.303876
1503055800,4330,4343.23,4302.72,4340.31,11.789573000000003
1503057600,4340.31,4340.31,4320.52,4340.3,13.917707000000002
1503059400,4340.3,4340.3,4287.79,4331.71,1.20125
1503061200,4302.97,4318.16,4273.74,4278,11.958861
1503063000,4278,4293.65,4221.05,4293.09,34.574905999999984
1503064800,4293.09,4293.09,4224.72,4256.79,41.871411
1503066600,4256.79,4259.4,4193.7,4259.4,32.49753200000001
1503068400,4259.4,4259.4,4209.5,4229.86,18.317684
1503070200,4200,4249.51,4200,4236.89,21.630033
1503072000,4236.89,4275.63,4234.54,4273.78,20.979757
1503073800,4273.78,4283.79,4250.34,4250.34,24.059067
1503075600,4250.34,4250.34,4197.73,4197.73,42.51409100000001
1503077400,4176.64,4197.73,4066.53,4193.35,20.177375
1503079200,4171.17,4297.75,4128,4173,16.503684
1503081000,4172.99,4177.41,4117.41,4117.41,8.814969999999999
1503082800,4086.28,4131,4015.7,4066.21,24.742744000000002
1503084600,4066.21,4136.48,4051.67,4136.28,35.855282
1503086400,4135,4135,4010.9,4010.9,9.03771
1503088200,4043.92,4061,3981.13,4021.11,10.930327000000002
1503090000,4015.4,4015.4,3949.36,3982.87,7.135815000000001
1503091800,3982.87,3982.87,3938.77,3975.69,7.602816
1503093600,3975.69,4094,3938.77,4094,24.603524999999998
1503095400,4062.21,4131.83,4062.21,4113.75,5.3026800000000005
1503097200,4113.75,4136.48,4085.88,4119.42,20.900551000000004
1503099000,4119.42,4120.42,4091.53,4108.37,24.036285000000003
1503100800,4108.37,4135.47,4084.28,4125.44,22.313652
1503102600,4125.44,4178.31,4110.47,4163.49,18.995225000000005
1503104400,4163.49,4178.31,4143.11,4156.99,3.7443079999999993
1503106200,4156.99,4184.69,4148.53,4148.53,25.090869
