time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,RSI,ATR
1598327100,11680.81,11693.35,11660.81,11669.58,11712.195,11723.27,11591.9,11742.5025,11761.970000000001,34.33323469427725,25.769411314057756
1598328000,11669.57,11678.35,11656.62,11676.16,11708.485,11723.27,11578.05,11742.5025,11761.970000000001,36.74489478082076,25.48088193448217
1598328900,11676.16,11677.63,11648.47,11653.54,11686.56,11719.235,11600.72,11742.5025,11761.970000000001,32.34690161708322,25.743676082019146
1598329800,11653.54,11687.04,11649.3,11680.88,11686.445,11719.235,11637.25,11742.5025,11761.970000000001,41.466080606237,26.600556361875032
1598330700,11680.89,11688.83,11675,11678.03,11680.035,11719.235,11652.83,11744.550000000001,11761.970000000001,40.847965282610616,25.688373764598236
1598331600,11678.03,11699.06,11677.94,11698.81,11673.765,11719.235,11622.96,11744.615000000002,11761.970000000001,47.046085036060326,25.362061352841145
1598332500,11698.89,11699.98,11684.99,11689.86,11674.224999999999,11719.235,11611.97,11742.740000000002,11761.970000000001,44.86553861749252,24.62119982763819
1598333400,11689.87,11695,11676.68,11683.38,11674.224999999999,11719.235,11614.44,11750.94,11761.970000000001,43.300686566702836,24.171114125664012
1598334300,11683.37,11687.82,11661.78,11665,11674.224999999999,11719.235,11534.54,11752.385,11761.970000000001,39.13158026600105,24.3046059738308
1598335200,11665,11668.42,11651.98,11653,11674.224999999999,11712.07,11486.55,11752.385,11761.970000000001,36.650458811092996,23.74284840427149
1598336100,11653.08,11667.68,11622.2,11623.42,11661.09,11695.025000000001,11492.39,11752.385,11761.970000000001,31.3703631498215,25.29550208968064
1598337000,11623.42,11639,11615,11635.89,11657.49,11691.425,11491.77,11752.385,11761.970000000001,35.58356283331804,25.202966226132023
1598337900,11635.94,11638.54,11592.35,11612.59,11646.165,11680.1,11493.83,11752.385,11759.52,31.671200904305167,26.702040067122628
1598338800,11612.58,11612.72,11566.51,11566.51,11633.244999999999,11667.18,11508.2,11752.32,11759.52,25.661948387031885,28.095465776613803
1598339700,11566.52,11597.3,11550,11582.39,11624.99,11658.925,11424.95,11752.32,11759.52,30.552262290614777,29.467218221141337
1598340600,11582.39,11603.92,11569.26,11586.18,11622.5,11658.925,11445.88,11752.32,11752.02,31.70697856123647,29.83813120534552
