time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,RSI,ATR
1596485400,11401.13,11409.08,11397.1,11408.88,11383.84,11383.415,11249.99,NaN,NaN,58.86829737099274,20.738683847038725
1596485700,11408.88,11412.72,11389.37,11391.2,11383.84,11383.415,11284.29,NaN,NaN,50.55253318154121,20.925206429392997
1596486000,11391.05,11391.28,11381.25,11388.83,11383.84,11383.415,11285.86,11403.1975,11366.5,49.54224073841468,20.146977398722118
1596486300,11388.85,11390.16,11377.95,11381.12,11388.445,11383.415,11252.77,11403.1975,11372.475,46.30048396034168,19.580050441670476
1596486600,11381.12,11381.13,11351.76,11359.22,11383.880000000001,11383.415,11243.98,11400.735,11372.475,38.578564523939896,20.279332552979657
1596486900,11359.59,11372.71,11359.59,11361.72,11383.880000000001,11383.415,11240.4,11398.625,11372.475,39.812595129703524,19.794380227766812
1596487200,11361.72,11368.66,11346.62,11358.26,11381.310000000001,11382.77,11211.91,11396.23,11372.475,38.65506281060032,19.954781640069115
1596487500,11358.26,11376.68,11355.66,11374.67,11379.67,11382.77,11209.13,11389.8875,11372.475,46.58696038198657,20.030868665778492
1596487800,11374.66,11374.66,11357.34,11360.99,11379.67,11382.77,11213.94,11385.5,11372.475,41.741564223390036,19.83794947536574
1596488100,11361.11,11376.7,11361.11,11373.63,11379.67,11382.77,11227.18,11385.5,11372.475,47.20542783574394,19.54309594141111
1596488400,11373.63,11385,11373.63,11376.29,11368.95,11382.77,11199.72,11387.1175,11372.475,48.304219541963256,18.95930337416752
1596488700,11376.45,11409,11370.13,11372.12,11377.810000000001,11381.365000000002,11174.72,11387.1175,11372.475,46.66456476311767,20.38149599029847
1596489000,11372.11,11374.97,11335,11338.55,11372,11375.5,11200.62,11388.32,11375.3,36.05433461654241,21.780674848134247
1596489300,11338.73,11362.53,11338.35,11362.29,11372,11375.5,11200.02,11392.779999999999,11375.939999999999,45.49287645893536,21.952055216124677
1596489600,11362.29,11368.07,11357.49,11359.94,11372,11375.5,11234.11,11394.842499999999,11384.08,44.788136944054806,21.139765557830053
1596489900,11359.98,11359.98,11272.38,11338.91,11340.689999999999,11344.189999999999,11226.48,11387.6425,11394.07,38.970142371630125,25.886925160842218
1596490200,11338.91,11365.48,11336.57,11347.13,11340.689999999999,11344.189999999999,11232.46,11387.6425,11394.07,42.134235363402134,26.102859077924904
1596490500,11346.92,11348.77,11290,11290,11340.689999999999,11344.189999999999,11228.93,11387.6425,11394.07,30.355056481193444,28.436226286644587
1596490800,11290.01,11321.65,11252,11276.83,11330.5,11334,11229.86,11387.6425,11394.07,28.385015458866192,31.38006726616995
